Country,year,Banking,Currency,Debt,Matched
Dominican Republic,1985,0.0,1.0,0.0,1
Dominican Republic,1990,0.0,1.0,0.0,1
Dominican Republic,2003,1.0,1.0,1.0,
Algeria,1988,0.0,1.0,0.0,1
Algeria,1990,1.0,0.0,0.0,1
Algeria,1994,0.0,1.0,0.0,1
Ecuador,1982,1.0,1.0,1.0,
"Egypt, Arab Rep.",1990,0.0,1.0,0.0,1
"Egypt, Arab Rep.",2016,0.0,1.0,0.0,
Spain,1977,1.0,0.0,0.0,1
Estonia,1992,1.0,1.0,0.0,
Gabon,1986,0.0,0.0,1.0,
Gabon,1994,0.0,1.0,0.0,1
Ghana,1978,0.0,1.0,0.0,
Ghana,1982,1.0,0.0,0.0,1
Ghana,2009,0.0,1.0,0.0,1
Ghana,2014,0.0,1.0,0.0,
Guinea,1982,0.0,1.0,0.0,
Guinea,1985,1.0,0.0,1.0,
"Gambia, The",1985,0.0,1.0,0.0,1
Guinea-Bissau,1994,0.0,1.0,0.0,1
Guinea-Bissau,2014,1.0,0.0,0.0,
Equatorial Guinea,1980,0.0,1.0,0.0,
Greece,2012,0.0,0.0,1.0,
Guyana,1993,1.0,0.0,0.0,1
Honduras,1981,0.0,0.0,1.0,1
Honduras,1990,0.0,1.0,0.0,1
Haiti,1994,1.0,0.0,0.0,
Hungary,1991,1.0,0.0,0.0,
Hungary,2008,1.0,0.0,0.0,1
Indonesia,1997,1.0,0.0,0.0,1
Iceland,2008,1.0,1.0,0.0,
Israel,1975,0.0,1.0,0.0,1
Jamaica,1978,0.0,1.0,1.0,
Jamaica,1983,0.0,1.0,0.0,1
Jamaica,1991,0.0,1.0,0.0,1
Jamaica,2010,0.0,0.0,1.0,1
Jordan,1989,1.0,1.0,1.0,
Kazakhstan,1999,0.0,1.0,0.0,1
Kenya,1985,1.0,0.0,0.0,1
Kenya,1992,1.0,0.0,0.0,1
Kyrgyz Republic,1997,0.0,1.0,0.0,
"Korea, Rep.",1997,1.0,0.0,0.0,1
Liberia,1980,0.0,0.0,1.0,
Sri Lanka,1978,0.0,1.0,0.0,1
Lithuania,1992,0.0,1.0,0.0,
Latvia,1992,0.0,1.0,0.0,
Latvia,1995,1.0,0.0,0.0,
Latvia,2008,1.0,0.0,0.0,1
Morocco,1980,1.0,0.0,0.0,1
Morocco,1983,0.0,0.0,1.0,1
Moldova,1999,0.0,1.0,0.0,
Madagascar,1981,0.0,0.0,1.0,
Madagascar,1984,0.0,1.0,0.0,1
Madagascar,1988,1.0,0.0,0.0,1
Mexico,1977,0.0,1.0,0.0,1
Mexico,1994,1.0,0.0,0.0,1
Mali,1987,1.0,0.0,0.0,
Mongolia,1990,0.0,1.0,0.0,1
Mongolia,1997,0.0,1.0,0.0,1
Mongolia,2008,1.0,0.0,0.0,1
Mozambique,1987,1.0,1.0,0.0,
Mozambique,2015,0.0,1.0,0.0,
Mauritania,1984,1.0,0.0,0.0,1
Malawi,1982,0.0,0.0,1.0,
Malawi,1994,0.0,1.0,0.0,
Malawi,2012,0.0,1.0,0.0,
Niger,1983,1.0,0.0,1.0,
Niger,1994,0.0,1.0,0.0,1
Nigeria,1989,0.0,1.0,0.0,1
Nigeria,1991,1.0,0.0,0.0,1
Nicaragua,1979,0.0,1.0,0.0,
Nicaragua,1990,1.0,1.0,0.0,
Nepal,1984,0.0,1.0,0.0,1
Nepal,1992,0.0,1.0,0.0,1
Pakistan,1972,0.0,1.0,0.0,1
Panama,1983,0.0,0.0,1.0,
Peru,1976,0.0,1.0,0.0,1
Peru,1978,0.0,0.0,1.0,1
Peru,1981,0.0,1.0,0.0,1
Peru,1983,1.0,0.0,0.0,1
Philippines,1983,1.0,1.0,1.0,
Papua New Guinea,1995,0.0,1.0,0.0,
Poland,1992,1.0,0.0,0.0,
Portugal,1983,0.0,1.0,0.0,1
Paraguay,2002,0.0,1.0,0.0,1
Romania,1996,0.0,1.0,0.0,1
Romania,1998,1.0,0.0,0.0,1
Russian Federation,1998,1.0,1.0,1.0,
Rwanda,1991,0.0,1.0,0.0,1
Sudan,1979,0.0,0.0,1.0,
Sudan,1981,0.0,1.0,0.0,
Senegal,1981,0.0,0.0,1.0,
Senegal,1988,1.0,0.0,0.0,1
Senegal,1994,0.0,1.0,0.0,1
Sierra Leone,1977,0.0,0.0,1.0,1
Sierra Leone,1983,0.0,1.0,0.0,1
El Salvador,1989,1.0,0.0,0.0,1
Serbia,2000,0.0,1.0,0.0,
Suriname,2016,0.0,1.0,0.0,
Seychelles,2008,0.0,1.0,1.0,
Chad,1994,0.0,1.0,0.0,
Togo,1979,0.0,0.0,1.0,1
Togo,1993,1.0,0.0,0.0,1
Thailand,1997,1.0,0.0,0.0,1
Trinidad and Tobago,1989,0.0,0.0,1.0,
Turkey,1978,0.0,1.0,1.0,
Turkey,1982,1.0,0.0,0.0,1
Turkey,1984,0.0,1.0,0.0,1
Turkey,2000,1.0,0.0,0.0,1
Tanzania,1987,1.0,0.0,0.0,
Tanzania,1990,0.0,1.0,0.0,
Uganda,1980,0.0,1.0,0.0,
Uganda,1988,0.0,1.0,0.0,1
Uganda,1994,1.0,0.0,0.0,1
Ukraine,1998,1.0,1.0,1.0,
Ukraine,2008,1.0,0.0,0.0,1
Ukraine,2014,1.0,1.0,0.0,
Uruguay,1972,0.0,1.0,0.0,1
Uruguay,1981,1.0,0.0,0.0,1
Uruguay,1983,0.0,1.0,1.0,
Uruguay,1990,0.0,1.0,0.0,1
Uruguay,2002,1.0,1.0,1.0,
"Venezuela, RB",1989,0.0,1.0,0.0,1
"Yemen, Rep.",1995,0.0,1.0,0.0,
Zambia,1983,0.0,1.0,1.0,
Zambia,1995,1.0,0.0,0.0,1
Zimbabwe,1983,0.0,1.0,0.0,
Zimbabwe,1991,0.0,1.0,0.0,1
Zimbabwe,1998,0.0,1.0,0.0,1
